,time,pos,SO2,NO2,PM10,PM2.5,O3,CO,T,H,P,WS,WD
6147,2020-01-01 01:00:00,监测点C,12.0,28.0,43.0,32.0,53.0,0.893,17.1,55,1021.7,1.7,183.9
6148,2020-01-01 02:00:00,监测点C,13.0,35.0,50.0,35.0,41.0,0.896,16.6,57,1021.6,1.7,200.0
6149,2020-01-01 03:00:00,监测点C,14.0,36.0,47.0,37.0,38.0,0.89,16.1,58,1021.2,1.7,194.3
6150,2020-01-01 04:00:00,监测点C,14.0,37.0,45.0,38.0,36.0,0.868,15.9,58,1020.9,1.4,194.5
6151,2020-01-01 05:00:00,监测点C,14.0,33.0,47.0,42.0,40.0,0.905,15.5,59,1020.6,1.8,198.0
6152,2020-01-01 06:00:00,监测点C,14.0,27.0,43.0,45.0,48.0,0.952,14.8,61,1020.6,2.3,199.0
6153,2020-01-01 07:00:00,监测点C,14.0,32.0,49.0,49.0,42.0,0.958,14.3,63,1021.3,1.7,193.9
6154,2020-01-01 08:00:00,监测点C,12.0,30.0,50.0,49.0,48.0,0.963,14.4,62,1022.1,1.8,192.0
6155,2020-01-01 09:00:00,监测点C,12.0,36.0,49.0,49.0,42.0,0.996,14.6,62,1022.8,1.9,201.2
6156,2020-01-01 10:00:00,监测点C,11.0,42.0,56.0,52.0,36.0,1.064,15.2,61,1023.9,0.8,269.7
6157,2020-01-01 11:00:00,监测点C,12.0,48.0,71.0,53.0,28.0,1.051,15.3,62,1024.0,0.8,320.4
6158,2020-01-01 12:00:00,监测点C,12.0,39.0,70.0,49.0,40.0,1.039,16.2,60,1023.4,0.9,152.1
6159,2020-01-01 13:00:00,监测点C,13.0,37.0,57.0,51.0,46.0,1.014,16.7,58,1022.4,0.9,336.4
6160,2020-01-01 14:00:00,监测点C,12.0,36.0,67.0,53.0,52.0,1.012,17.2,56,1021.3,1.0,318.9
6161,2020-01-01 15:00:00,监测点C,12.0,25.0,57.0,51.0,71.0,0.943,18.3,53,1020.1,1.0,239.9
6162,2020-01-01 16:00:00,监测点C,11.0,27.0,61.0,54.0,76.0,0.928,19.8,52,1019.3,0.7,257.5
6163,2020-01-01 17:00:00,监测点C,10.0,35.0,68.0,56.0,73.0,0.946,19.9,53,1019.0,0.8,18.6
6164,2020-01-01 18:00:00,监测点C,12.0,56.0,94.0,70.0,51.0,1.126,18.9,57,1019.0,1.2,342.3
6165,2020-01-01 19:00:00,监测点C,12.0,80.0,111.0,86.0,24.0,1.484,18.2,60,1019.3,0.7,7.1
6166,2020-01-01 20:00:00,监测点C,11.0,76.0,134.0,91.0,24.0,1.391,17.9,62,1019.8,0.5,21.4
6167,2020-01-01 21:00:00,监测点C,11.0,68.0,106.0,85.0,28.0,1.412,17.5,64,1020.2,0.4,324.8
