监测日期,SO2监测浓度(μg/m³),NO2监测浓度(μg/m³),PM10监测浓度(μg/m³),PM2.5监测浓度(μg/m³),O3最大八小时滑动平均监测浓度(μg/m³),CO监测浓度(mg/m³)
2020-07-23,5,13,23,6,128,0.5
2020-07-24,6,14,27,7,137,0.5
2020-07-25,6,12,25,8,130,0.5
2020-07-26,6,9,22,6,101,0.5
2020-07-27,5,9,0,3,73,0.5
2020-07-28,5,14,22,6,84,0.5
2020-07-29,5,22,27,8,115,0.5
2020-07-30,5,29,32,12,124,0.6
2020-07-31,6,26,22,8,42,0.6
2020-08-01,4,20,14,3,34,0.5
2020-08-02,0,0,0,0,0,0
2020-08-03,3,25,15,5,38,0.7
2020-08-04,4,21,19,6,84,0.7
2020-08-05,3,22,14,3,19,0.7
2020-08-06,4,19,18,6,79,0.6
2020-08-07,4,17,25,7,58,0.6
2020-08-08,4,17,23,6,88,0.5
2020-08-09,7,13,27,10,140,0.6
2020-08-10,6,12,22,8,115,0.5
2020-08-11,4,12,20,4,59,0.6
2020-08-12,2,18,14,4,41,0.5
2020-08-13,3,15,16,4,35,0.5
2020-08-14,4,20,22,8,54,0.6
2020-08-15,5,19,24,7,64,0.6
2020-08-16,5,17,20,6,76,0.5
2020-08-17,0,31,34,15,43,0.6
2020-08-18,5,31,29,13,78,0.5
2020-08-19,4,14,13,3,43,0.4
2020-08-20,5,19,25,10,62,0.5
2020-08-21,8,28,51,28,198,0.6
2020-08-22,7,21,54,37,218,0.6
2020-08-23,8,17,42,26,180,0.5
2020-08-24,7,13,32,17,126,0.4
2020-08-25,8,12,27,11,112,0.5
2020-08-26,7,16,24,10,92,0.5
2020-08-27,7,31,37,23,169,0.6
2020-08-28,8,30,47,33,201,0.7
2020-08-29,9,29,53,42,186,0.7
2020-08-30,7,24,59,42,188,0.8
2020-08-31,6,24,47,32,156,0.7
2020-09-01,10,34,56,40,178,0.8
2020-09-02,10,38,70,50,206,0.9
2020-09-03,10,37,79,54,223,0.9
2020-09-04,8,26,60,45,136,0.9
2020-09-05,6,35,36,25,84,0.7
2020-09-06,8,32,39,27,166,0.6
2020-09-07,6,25,25,10,53,0.6
2020-09-08,5,32,21,7,44,0.6
2020-09-09,8,39,29,14,57,0.7
2020-09-10,8,28,32,15,84,0.6
2020-09-11,8,27,27,9,60,0.6
2020-09-12,6,29,25,12,143,0.6
2020-09-13,6,34,32,20,158,0.7
2020-09-14,5,30,28,17,111,0.7
2020-09-15,6,49,30,18,25,0.8
2020-09-16,9,31,34,13,54,0.7
2020-09-17,7,25,29,8,76,0.6
2020-09-18,6,30,23,8,34,0.6
2020-09-19,5,28,18,6,27,0.6
2020-09-20,6,24,27,10,87,0.6
2020-09-21,6,24,23,7,60,0.5
2020-09-22,6,20,28,11,92,0.6
2020-09-23,6,29,31,14,96,0.6
2020-09-24,7,34,35,14,108,0.8
2020-09-25,8,42,44,19,120,0.8
2020-09-26,7,48,43,29,90,0.7
2020-09-27,7,47,39,20,50,0.8
2020-09-28,8,51,51,28,115,0.7
2020-09-29,10,44,53,31,118,0.8
2020-09-30,8,33,34,19,106,0.7
2020-10-01,8,18,27,13,138,0.6
2020-10-02,8,14,37,18,155,0.5
2020-10-03,6,25,40,18,125,0.6
2020-10-04,6,24,51,30,182,0.7
2020-10-05,6,26,43,23,65,0.8
2020-10-06,5,24,33,13,80,0.7
2020-10-07,5,19,26,11,72,0.6
2020-10-08,5,19,26,10,70,0.6
2020-10-09,7,22,41,22,109,0.6
2020-10-10,8,39,56,29,151,0.6
2020-10-11,9,50,66,36,174,0.7
2020-10-12,10,43,64,34,154,0.6
2020-10-13,9,34,53,25,76,0.6
2020-10-14,8,47,40,19,54,0.6
2020-10-15,10,45,54,25,140,0.6
2020-10-16,11,33,48,22,97,0.6
2020-10-17,8,23,29,11,74,0.6
2020-10-18,8,20,28,11,98,0.6
2020-10-19,7,21,27,10,94,0.6
2020-10-20,6,21,35,16,115,0.6
2020-10-21,8,21,37,18,100,0.6
2020-10-22,8,22,38,15,96,0.6
2020-10-23,10,39,71,26,108,0.6
2020-10-24,11,42,72,25,104,0.5
2020-10-25,16,64,86,34,169,0.7
2020-10-26,11,73,85,41,188,0.8
2020-10-27,10,66,81,45,166,0.8
2020-10-28,9,67,78,43,92,0.9
2020-10-29,5,48,49,43,53,0.9
2020-10-30,6,44,54,39,61,0.9
2020-10-31,10,54,71,49,126,0.9
2020-11-01,10,56,81,51,190,1
2020-11-02,7,42,69,47,124,0.9
2020-11-03,6,26,43,23,101,0.8
2020-11-04,10,52,78,45,105,0.9
2020-11-05,11,71,90,51,184,1
2020-11-06,10,59,84,46,160,1
2020-11-07,12,42,69,37,148,1
2020-11-08,12,24,63,32,148,0.8
2020-11-09,12,33,78,30,138,0.8
2020-11-10,12,52,85,39,146,0.9
2020-11-12,13,71,75,34,122,0.8
2020-11-13,12,62,63,28,102,0.8
2020-11-14,11,38,58,25,75,0.7
2020-11-15,10,48,54,31,33,0.8
2020-11-16,9,47,66,43,125,0.9
2020-11-17,5,41,46,19,67,0.6
2020-11-18,5,48,60,26,106,0.7
2020-11-19,6,39,47,22,114,0.8
2020-11-20,5,38,54,31,160,0.8
2020-11-21,0,0,0,0,0,0
2020-11-22,4,39,49,26,150,0.7
2020-11-23,5,45,63,28,20,0.9
2020-11-24,6,42,58,28,111,0.8
2020-11-25,7,69,63,30,134,0.8
2020-11-26,8,49,68,37,107,0.7
2020-11-27,6,32,38,15,82,0.7
2020-11-28,6,23,31,14,88,0.6
2020-11-29,6,25,33,14,70,0.7
2020-11-30,6,27,37,17,83,0.7
2020-12-01,7,34,41,21,78,0.6
2020-12-02,7,31,40,21,75,0.5
2020-12-03,6,26,36,20,64,0.4
2020-12-04,7,27,37,20,66,0.5
2020-12-05,8,36,48,29,71,0.6
2020-12-06,10,52,69,46,92,0.7
2020-12-07,13,60,81,51,88,0.8
2020-12-08,11,45,65,42,82,0.7
2020-12-09,10,64,71,45,46,0.7
2020-12-10,13,68,84,49,75,0.8
2020-12-11,14,71,84,48,71,0.9
2020-12-12,13,65,89,55,68,1
2020-12-13,11,65,97,65,43,0.9
2020-12-14,6,39,34,22,25,1
2020-12-15,3,28,20,7,30,0.7
2020-12-16,3,32,28,14,32,0.6
2020-12-17,4,35,38,21,13,0.6
2020-12-18,5,34,45,22,26,0.7
2020-12-19,6,27,43,26,49,0.6
2020-12-20,8,27,51,37,91,0.6
2020-12-21,8,38,64,50,85,0.7
2020-12-22,8,64,79,52,62,0.8
2020-12-23,9,75,94,53,44,1
2020-12-24,6,40,58,35,38,0.7
2020-12-25,8,48,78,49,26,0.9
2020-12-26,8,0,93,54,85,0.9
2020-12-27,8,86,116,75,173,1.2
2020-12-28,8,75,85,62,129,1.1
2020-12-29,8,51,76,48,0,1
2020-12-30,6,15,50,12,0,1
2020-12-31,6,24,38,18,0,0.7
2021-01-01,6,32,37,0,64,0.7
2021-01-02,9,55,53,26,62,0.9
2021-01-03,11,81,101,55,60,1.3
2021-01-04,12,71,73,35,61,0.9
2021-01-05,15,64,81,42,98,1
2021-01-06,12,53,76,47,93,1
2021-01-07,9,37,63,47,43,1.1
2021-01-08,7,21,40,31,48,1
2021-01-09,8,36,47,18,44,0.9
2021-01-10,10,43,49,21,36,0.9
2021-01-11,9,29,43,26,51,0.8
2021-01-12,11,51,65,38,68,0.8
2021-01-13,11,89,93,58,36,1.2
2021-01-14,13,132,124,93,78,1.5
2021-01-15,12,117,124,97,146,1.4
2021-01-16,10,92,99,75,120,1.3
2021-01-17,11,33,106,53,102,0.9
2021-01-18,11,46,95,44,84,0.9
2021-01-19,13,87,122,76,142,1.2
2021-01-20,13,98,108,59,107,1.2
2021-01-21,13,88,103,84,83,1.3
2021-01-22,8,49,42,28,48,1.1
2021-01-23,8,53,63,43,96,1.3
2021-01-24,9,46,62,43,108,1.2
2021-01-26,5,48,62,45,120,0.8
2021-01-27,5,53,65,44,118,0.9
2021-01-28,5,35,57,42,84,1
2021-01-29,5,32,39,22,135,0.7
2021-01-30,6,51,76,41,151,0.7
2021-01-31,6,43,54,27,146,0.6
2021-02-01,5,49,49,24,128,0.7
2021-02-02,5,38,52,27,167,0.7
2021-02-03,4,21,46,26,144,0.7
2021-02-04,5,34,58,30,163,0.7
2021-02-05,5,31,44,23,137,0.6
2021-02-06,7,34,48,30,149,0.8
2021-02-07,6,34,42,28,151,0.7
2021-02-08,6,25,47,30,140,0.7
2021-02-09,4,19,43,28,78,0.7
2021-02-10,4,12,10,6,41,0.8
2021-02-11,4,10,16,8,72,0.7
2021-02-12,8,10,39,28,89,0.6
