,SO2,NO2,PM10,PM2.5,O3,CO,T,H,P,WS,WD,AQI,MainPStr,DAQI,MainP,AP
0,5.0,75.0,61.0,38.0,1.0,1.0,21.1,89.0,1013.0,1.2,346.5,94.0,NO2,-14.0,1,0.6025678403267423
1,5.0,64.0,60.0,41.0,25.0,0.8,20.4,92.0,1012.4,1.1,18.0,80.0,NO2,-5.0,1,0.5109557818671157
2,4.0,60.0,36.0,40.0,25.0,0.8,20.0,93.0,1011.3,1.1,65.9,75.0,NO2,-26.0,1,0.24021837372414
3,4.0,39.0,35.0,33.0,41.0,0.7,19.8,93.0,1010.4,1.5,78.4,49.0,NO2,6.0,1,-0.03996480095141397
4,4.0,39.0,28.0,39.0,36.0,0.8,19.9,92.0,1010.0,1.5,73.5,55.0,PM2.5,0.0,3,-0.02344825607568349
5,4.0,42.0,34.0,39.0,32.0,0.8,20.0,92.0,1010.0,1.9,76.5,55.0,PM2.5,2.0,3,0.04429744585842663
6,5.0,38.0,41.0,40.0,38.0,0.7,20.2,89.0,1010.3,1.3,125.6,57.0,PM2.5,10.0,3,0.07123193988204407
7,6.0,49.0,38.0,48.0,26.0,0.7,20.2,90.0,1011.5,1.2,9.8,67.0,PM2.5,5.0,3,0.21540367545332015
8,5.0,57.0,31.0,42.0,23.0,0.8,20.0,92.0,1012.7,1.9,356.7,72.0,NO2,1.0,1,0.19777546275325555
9,5.0,58.0,11.0,33.0,20.0,0.8,19.7,92.0,1013.1,1.8,20.6,73.0,NO2,-10.0,1,-0.04760780149822888
10,4.0,50.0,3.0,6.0,31.0,0.8,20.1,91.0,1012.7,1.4,78.8,63.0,NO2,4.0,1,-0.4238096413402874
11,4.0,53.0,10.0,7.0,37.0,0.9,20.9,88.0,1012.4,1.1,238.6,67.0,NO2,6.0,1,-0.26491095190768643
12,7.0,58.0,25.0,8.0,48.0,0.9,21.6,86.0,1011.0,1.2,248.6,73.0,NO2,-9.0,1,0.02286700762657248
13,6.0,51.0,22.0,24.0,77.0,0.8,22.8,79.0,1010.8,1.4,16.8,64.0,NO2,-14.0,1,0.11033742933289954
14,5.0,38.0,18.0,20.0,99.0,0.7,24.3,73.0,1009.8,1.3,5.1,50.0,O3,24.0,4,-0.07992336466090155
15,5.0,37.0,19.0,14.0,128.0,0.7,25.6,68.0,1009.2,1.5,5.9,74.0,O3,1.0,4,-0.03282805947153076
16,4.0,44.0,31.0,17.0,130.0,0.8,25.6,66.0,1009.1,1.5,7.3,75.0,O3,20.0,4,0.19382487020198877
17,5.0,48.0,47.0,22.0,153.0,0.8,25.1,69.0,1009.3,1.3,348.0,95.0,O3,-25.0,4,0.5166024175139778
18,5.0,56.0,39.0,35.0,105.0,0.8,24.2,72.0,1009.3,1.5,355.0,70.0,NO2,8.0,1,0.48278006325341427
19,5.0,62.0,43.0,29.0,78.0,0.9,23.4,76.0,1009.6,0.6,341.5,78.0,NO2,6.0,1,0.46896245450379914
